"","Date","region1","region2","region3","region1_alt","region2_alt","region3_alt"
"223",19000811,NA,NA,NA,NA,NA,NA
"224",19000812,NA,NA,NA,NA,NA,NA
"225",19000813,NA,NA,NA,NA,NA,NA
"226",19000814,NA,NA,NA,NA,NA,NA
"227",19000815,NA,NA,NA,NA,NA,NA
"228",19000816,NA,NA,NA,NA,NA,NA
"229",19000817,NA,NA,NA,NA,NA,NA
"230",19000818,NA,NA,NA,NA,NA,NA
"231",19000819,NA,NA,NA,NA,NA,NA
"232",19000820,NA,NA,NA,NA,NA,NA
"233",19000821,NA,NA,NA,NA,NA,NA
"234",19000822,NA,NA,NA,NA,NA,NA
"235",19000823,NA,NA,NA,NA,NA,NA
"236",19000824,NA,NA,NA,NA,NA,NA
"237",19000825,NA,NA,NA,NA,NA,NA
"238",19000826,NA,NA,NA,NA,NA,NA
"239",19000827,NA,NA,NA,NA,NA,NA
"240",19000828,NA,NA,NA,NA,NA,NA
"241",19000829,NA,NA,NA,NA,NA,NA
"242",19000830,NA,NA,NA,NA,NA,NA
"243",19000831,NA,NA,NA,NA,NA,NA
"244",19000901,NA,NA,NA,NA,NA,NA
"245",19000902,NA,NA,NA,NA,NA,NA
"246",19000903,NA,NA,NA,NA,NA,NA
"247",19000904,NA,NA,NA,NA,NA,NA
"248",19000905,NA,NA,NA,NA,NA,NA
"249",19000906,NA,NA,NA,NA,NA,NA
"250",19000907,NA,NA,NA,NA,NA,NA
"251",19000908,NA,NA,NA,NA,NA,NA
"252",19000909,NA,NA,NA,NA,NA,NA
"253",19000910,NA,NA,NA,NA,NA,NA
"254",19000911,NA,NA,NA,NA,NA,NA
"255",19000912,NA,NA,NA,NA,NA,NA
"256",19000913,NA,NA,NA,NA,NA,NA
"257",19000914,NA,NA,NA,NA,NA,NA
"258",19000915,NA,NA,NA,NA,NA,NA
"259",19000916,NA,NA,NA,NA,NA,NA
"260",19000917,NA,NA,NA,NA,NA,NA
"261",19000918,NA,NA,NA,NA,NA,NA
"262",19000919,NA,NA,NA,NA,NA,NA
"263",19000920,NA,NA,NA,NA,NA,NA
"264",19000921,NA,NA,NA,NA,NA,NA
"265",19000922,NA,NA,NA,NA,NA,NA
"266",19000923,NA,NA,NA,NA,NA,NA
"267",19000924,NA,NA,NA,NA,NA,NA
"268",19000925,NA,NA,NA,NA,NA,NA
"269",19000926,NA,NA,NA,NA,NA,NA
"270",19000927,NA,NA,NA,NA,NA,NA
"271",19000928,NA,NA,NA,NA,NA,NA
"272",19000929,NA,NA,NA,NA,NA,NA
"273",19000930,NA,NA,NA,NA,NA,NA
"274",19001001,NA,NA,NA,NA,NA,NA
"275",19001002,NA,NA,NA,NA,NA,NA
"276",19001003,NA,NA,NA,NA,NA,NA
"277",19001004,NA,NA,NA,NA,NA,NA
"278",19001005,NA,NA,NA,NA,NA,NA
"279",19001006,NA,NA,NA,NA,NA,NA
"280",19001007,NA,NA,NA,NA,NA,NA
"281",19001008,NA,NA,NA,NA,NA,NA
"282",19001009,NA,NA,NA,NA,NA,NA
"283",19001010,NA,NA,NA,NA,NA,NA
"284",19001011,NA,NA,NA,NA,NA,NA
"285",19001012,NA,NA,NA,NA,NA,NA
"286",19001013,NA,NA,NA,NA,NA,NA
"287",19001014,NA,NA,NA,NA,NA,NA
"288",19001015,NA,NA,NA,NA,NA,NA
"289",19001016,NA,NA,NA,NA,NA,NA
"290",19001017,NA,NA,NA,NA,NA,NA
"291",19001018,NA,NA,NA,NA,NA,NA
"292",19001019,NA,NA,NA,NA,NA,NA
"293",19001020,NA,NA,NA,NA,NA,NA
"294",19001021,NA,NA,NA,NA,NA,NA
"295",19001022,NA,NA,NA,NA,NA,NA
"296",19001023,NA,NA,NA,NA,NA,NA
"297",19001024,NA,NA,NA,NA,NA,NA
"298",19001025,NA,NA,NA,NA,NA,NA
"299",19001026,NA,NA,NA,NA,NA,NA
"300",19001027,NA,NA,NA,NA,NA,NA
"301",19001028,NA,NA,NA,NA,NA,NA
"302",19001029,NA,NA,NA,NA,NA,NA
"303",19001030,NA,NA,NA,NA,NA,NA
"304",19001031,NA,NA,NA,NA,NA,NA
"305",19001101,NA,NA,NA,NA,NA,NA
"306",19001102,NA,NA,NA,NA,NA,NA
"307",19001103,NA,NA,NA,NA,NA,NA
"308",19001104,NA,NA,NA,NA,NA,NA
"309",19001105,NA,NA,NA,NA,NA,NA
"310",19001106,NA,NA,NA,NA,NA,NA
"311",19001107,NA,NA,NA,NA,NA,NA
"312",19001108,NA,NA,NA,NA,NA,NA
"313",19001109,NA,NA,NA,NA,NA,NA
"314",19001110,NA,NA,NA,NA,NA,NA
"315",19001111,NA,NA,NA,NA,NA,NA
"316",19001112,NA,NA,NA,NA,NA,NA
"317",19001113,NA,NA,NA,NA,NA,NA
"318",19001114,NA,NA,NA,NA,NA,NA
"319",19001115,NA,NA,NA,NA,NA,NA
"320",19001116,NA,NA,NA,NA,NA,NA
"321",19001117,NA,NA,NA,NA,NA,NA
"322",19001118,NA,NA,NA,NA,NA,NA
"323",19001119,NA,NA,NA,NA,NA,NA
"324",19001120,NA,NA,NA,NA,NA,NA
"325",19001121,NA,NA,NA,NA,NA,NA
"326",19001122,NA,NA,NA,NA,NA,NA
"327",19001123,NA,NA,NA,NA,NA,NA
"328",19001124,NA,NA,NA,NA,NA,NA
"329",19001125,NA,NA,NA,NA,NA,NA
"330",19001126,NA,NA,NA,NA,NA,NA
"331",19001127,NA,NA,NA,NA,NA,NA
"332",19001128,NA,NA,NA,NA,NA,NA
"333",19001129,NA,NA,NA,NA,NA,NA
"334",19001130,NA,NA,NA,NA,NA,NA
"335",19001201,NA,NA,NA,NA,NA,NA
"336",19001202,NA,NA,NA,NA,NA,NA
"337",19001203,NA,NA,NA,NA,NA,NA
"338",19001204,NA,NA,NA,NA,NA,NA
"339",19001205,NA,NA,NA,NA,NA,NA
"340",19001206,NA,NA,NA,NA,NA,NA
"341",19001207,NA,NA,NA,NA,NA,NA
"342",19001208,NA,NA,NA,NA,NA,NA
"343",19001209,NA,NA,NA,NA,NA,NA
"344",19001210,NA,NA,NA,NA,NA,NA
"345",19001211,NA,NA,NA,NA,NA,NA
"346",19001212,NA,NA,NA,NA,NA,NA
"347",19001213,NA,NA,NA,NA,NA,NA
"348",19001214,NA,NA,NA,NA,NA,NA
"349",19001215,NA,NA,NA,NA,NA,NA
"350",19001216,NA,NA,NA,NA,NA,NA
"351",19001217,NA,NA,NA,NA,NA,NA
"352",19001218,NA,NA,NA,NA,NA,NA
"353",19001219,NA,NA,NA,NA,NA,NA
"354",19001220,NA,NA,NA,NA,NA,NA
"355",19001221,NA,NA,NA,NA,NA,NA
"356",19001222,NA,NA,NA,NA,NA,NA
"357",19001223,NA,NA,NA,NA,NA,NA
"358",19001224,NA,NA,NA,NA,NA,NA
"359",19001225,NA,NA,NA,NA,NA,NA
"360",19001226,NA,NA,NA,NA,NA,NA
"361",19001227,NA,NA,NA,NA,NA,NA
"362",19001228,NA,NA,NA,NA,NA,NA
"363",19001229,NA,NA,NA,NA,NA,NA
"364",19001230,NA,NA,NA,NA,NA,NA
"365",19001231,NA,NA,NA,NA,NA,NA
"366",19010101,NA,NA,NA,NA,NA,NA
"367",19010102,NA,NA,NA,NA,NA,NA
"368",19010103,NA,NA,NA,NA,NA,NA
"369",19010104,NA,NA,NA,NA,NA,NA
"370",19010105,NA,NA,NA,NA,NA,NA
"371",19010106,NA,NA,NA,NA,NA,NA
"372",19010107,NA,NA,NA,NA,NA,NA
"373",19010108,NA,NA,NA,NA,NA,NA
"374",19010109,NA,NA,NA,NA,NA,NA
"375",19010110,NA,NA,NA,NA,NA,NA
"376",19010111,NA,NA,NA,NA,NA,NA
"377",19010112,NA,NA,NA,NA,NA,NA
"378",19010113,NA,NA,NA,NA,NA,NA
"379",19010114,NA,NA,NA,NA,NA,NA
"380",19010115,NA,NA,NA,NA,NA,NA
"381",19010116,NA,NA,NA,NA,NA,NA
"382",19010117,NA,NA,NA,NA,NA,NA
"383",19010118,NA,NA,NA,NA,NA,NA
"384",19010119,NA,NA,NA,NA,NA,NA
"385",19010120,NA,NA,NA,NA,NA,NA
"386",19010121,NA,NA,NA,NA,NA,NA
"387",19010122,NA,NA,NA,NA,NA,NA
"388",19010123,NA,NA,NA,NA,NA,NA
"389",19010124,NA,NA,NA,NA,NA,NA
"390",19010125,NA,NA,NA,NA,NA,NA
"391",19010126,NA,NA,NA,NA,NA,NA
"392",19010127,NA,NA,NA,NA,NA,NA
"393",19010128,NA,NA,NA,NA,NA,NA
"394",19010129,NA,NA,NA,NA,NA,NA
"395",19010130,NA,NA,NA,NA,NA,NA
"396",19010131,NA,NA,NA,NA,NA,NA
"397",19010201,NA,NA,NA,NA,NA,NA
"398",19010202,NA,NA,NA,NA,NA,NA
"399",19010203,NA,NA,NA,NA,NA,NA
"400",19010204,NA,NA,NA,NA,NA,NA
"401",19010205,NA,NA,NA,NA,NA,NA
"402",19010206,NA,NA,NA,NA,NA,NA
"403",19010207,NA,NA,NA,NA,NA,NA
"404",19010208,NA,NA,NA,NA,NA,NA
"405",19010209,NA,NA,NA,NA,NA,NA
"406",19010210,NA,NA,NA,NA,NA,NA
"407",19010211,NA,NA,NA,NA,NA,NA
"408",19010212,NA,NA,NA,NA,NA,NA
"409",19010213,NA,NA,NA,NA,NA,NA
"410",19010214,NA,NA,NA,NA,NA,NA
"411",19010215,NA,NA,NA,NA,NA,NA
"412",19010216,NA,NA,NA,NA,NA,NA
"413",19010217,NA,NA,NA,NA,NA,NA
"414",19010218,NA,NA,NA,NA,NA,NA
"415",19010219,NA,NA,NA,NA,NA,NA
"416",19010220,NA,NA,NA,NA,NA,NA
"417",19010221,NA,NA,NA,NA,NA,NA
"418",19010222,NA,NA,NA,NA,NA,NA
"419",19010223,NA,NA,NA,NA,NA,NA
"420",19010224,NA,NA,NA,NA,NA,NA
"421",19010225,NA,NA,NA,NA,NA,NA
"422",19010226,NA,NA,NA,NA,NA,NA
"423",19010227,NA,NA,NA,NA,NA,NA
"424",19010228,NA,NA,NA,NA,NA,NA
"425",19010301,NA,NA,NA,NA,NA,NA
"426",19010302,NA,NA,NA,NA,NA,NA
"427",19010303,NA,NA,NA,NA,NA,NA
"428",19010304,NA,NA,NA,NA,NA,NA
"429",19010305,NA,NA,NA,NA,NA,NA
"430",19010306,NA,NA,NA,NA,NA,NA
"431",19010307,NA,NA,NA,NA,NA,NA
"432",19010308,NA,NA,NA,NA,NA,NA
"433",19010309,NA,NA,NA,NA,NA,NA
"434",19010310,NA,NA,NA,NA,NA,NA
"435",19010311,NA,NA,NA,NA,NA,NA
"436",19010312,NA,NA,NA,NA,NA,NA
"437",19010313,NA,NA,NA,NA,NA,NA
"438",19010314,NA,NA,NA,NA,NA,NA
"439",19010315,NA,NA,NA,NA,NA,NA
"440",19010316,NA,NA,NA,NA,NA,NA
"441",19010317,NA,NA,NA,NA,NA,NA
"442",19010318,NA,NA,NA,NA,NA,NA
"443",19010319,NA,NA,NA,NA,NA,NA
"444",19010320,NA,NA,NA,NA,NA,NA
"445",19010321,NA,NA,NA,NA,NA,NA
"446",19010322,NA,NA,NA,NA,NA,NA
"447",19010323,NA,NA,NA,NA,NA,NA
