"","V1"
"369",482893.620756573
"370",569198.727362627
"371",479585.813486898
"372",555655.054074656
"373",567217.835271934
"374",427198.783829196
"375",467864.706325814
"376",552689.931863624
"377",553398.542327659
"378",486294.729696129
"379",480844.446035781
"380",449322.20305612
"381",497039.099314649
"382",464835.492510882
"383",498199.48980153
"384",475281.740461374
"385",510510.396021733
"386",488205.188721325
"387",403468.509904559
"388",492487.611767106
"389",498897.578082695
"390",516093.334406645
"391",464564.360355452
"392",494031.898746054
"393",467063.169538918
"394",495120.117116507
"395",460211.604078163
"396",513887.864860306
"397",462957.010580241
"398",453081.84011399
"399",357037.638803916
"400",421808.941209648
"401",353372.373979541
"402",362059.363584665
"403",918008.326698353
"404",854066.594193401
"405",997863.961463105
"406",813480.663925474
"407",808670.367133884
"408",917842.102579249
"409",946230.225838958
"410",1064579.8980751
"411",972281.362368079
"412",823580.484088228
"413",860960.542047651
"414",926723.035962495
"415",993513.610329737
"416",1019022.79832386
"417",866317.950922989
"418",879956.492447112
"419",879146.70658109
"420",868766.484794558
"421",901066.406777461
"422",1016999.88308122
"423",885109.309748927
"424",885027.867444772
"425",1040783.96595791
"426",904595.021312305
"427",1034901.23457246
"428",897260.984272698
"429",1015983.41662739
"430",852704.43255861
"431",743170.158315214
"432",996529.943000549
"433",839734.788535282
"434",1019826.78073965
"435",763704.812770507
"436",733625.111426002
"437",446599.759942455
"438",422290.08723214
"439",458355.669146088
"440",466906.126305278
"441",461374.862329286
"442",907929.225906919
"443",907929.225906919
"444",279570.427402339
"445",552996.18967767
"446",545435.697413533
"447",336937.532858968
"448",384534.591978332
"449",597405.191614386
"450",536381.540240955
"451",550701.414070782
"452",441728.084586581
"453",797741.120743487
"454",489660.996651568
"455",510523.840616175
"456",616142.74295447
"457",653954.173740205
"458",497235.060638
"459",453078.251626537
"460",342540.958236792
"461",291643.749534841
"462",389332.363780253
"463",669620.487087183
"464",576335.131621107
"465",545255.747542196
"466",336581.628588428
"467",350005.554953908
"468",289481.600459061
"469",417396.723227629
"470",581554.014946711
"471",340006.250465976
"472",715450.294825497
"473",493265.099800999
"474",450687.02955067
"475",707503.160563452
"476",711513.238255527
"477",707145.193078315
"478",496310.27111578
"479",551682.149273577
"480",616751.184431509
"481",243574.208098601
"482",439935.533475589
"483",528906.305597335
"484",300267.286668418
"485",379018.012262449
"486",410125.922405015
"487",465901.103760775
"488",266301.937652872
"489",259349.45054527
"490",268215.342569206
"491",279570.427402339
"492",340006.250465976
"493",243574.208098601
