"","1","2","3"
"60",396542.325594101,559585.753008381,576008.006950925
"61",442317.38581419,606615.169691589,626489.449419616
"62",417281.508480456,578920.203714485,593169.824673017
"63",398500.640164229,558632.933269158,571339.275970852
"64",406711.823912824,569506.745305614,585438.577151293
"65",393351.757737964,555594.029632257,570977.428548757
"66",514544.291007208,441604.276557133,375412.475455972
"67",512809.014990409,440822.263685449,374943.285740385
"68",401394.141506418,297563.456232163,230450.890310184
"69",468325.140873168,346256.229738781,270962.098984271
"70",372490.995446246,288990.409075974,229201.207443665
"71",755222.813852323,844685.753726369,831493.832543535
"72",687702.871339939,784954.556437599,774332.381196559
"73",767770.996698807,861165.937186656,849004.446581155
"74",700702.712166796,786764.720713325,772959.338971529
"75",690759.968395467,783634.876377488,771752.70617759
"76",693515.549796853,790602.852066299,779898.525154203
"77",764477.984528486,857543.840992229,845306.162102231
"78",655978.877756154,751852.176321223,741036.521132225
"79",711098.421176756,811888.354022366,802162.342341511
"80",690363.139944699,791305.946671944,781744.12149387
"81",676201.575358434,775006.183555888,764903.416129991
"82",746984.637790398,837821.059204482,825051.444831184
"83",692514.873258347,783134.176255835,770615.210275514
"84",418452.312161537,529005.091034362,530423.157342713
"85",499408.356384493,604168.219542557,611920.712852848
"86",394397.643409833,499081.826116491,509255.491150649
"87",441748.120638957,548028.902314682,554759.623400211
"88",392365.290066581,496283.497348563,509450.787809429
"89",327965.858199822,385097.611517787,376566.943620953
"90",244781.941776686,328449.171007559,327559.23034987
"91",287434.83184797,304323.542150174,295134.119370773
"92",308479.820623385,335826.696792898,325784.922623978
"93",336553.864197635,313524.50441584,297275.168198619
"94",285428.969378804,302649.822414757,293660.752218494
"95",352015.278851492,395942.484064096,384911.604228467
"96",277099.276925559,322848.385998504,316597.881508336
"97",278768.98179997,325409.375968922,319094.125781311
"98",298590.973636313,286685.118613558,274436.842821574
"99",310035.29783379,346021.672223302,336601.11071061
"100",232084.78187192,299084.282087571,298243.066113753
"101",278440.941346638,295300.651634896,286926.35117721
"102",297482.152166343,311191.13456626,300916.443238073
"103",350898.317909396,320484.85561597,302596.119944336
"104",243041.445754668,320360.338098818,319167.727128952
"105",244716.504298523,355172.098579198,357069.44895123
"106",301578.900845568,317435.243916545,306994.364632082
"107",297978.303094941,341541.285243781,333579.216235427
"108",342959.602306221,317199.481058985,300260.692991924
"109",318161.067240477,298368.159033537,283805.904348838
"110",268053.010801511,319806.871742579,314728.53508214
"111",453938.709533177,578722.774712117,592081.03322779
"112",453185.076198069,563527.510316869,577298.022248451
"113",429639.922527089,550980.511962869,564428.968052902
"114",488952.953632657,599554.299464536,613347.469411362
"115",488559.6545139,592275.365196547,607526.118689215
"116",373423.419512622,517704.572319922,542889.43146775
"117",400468.637487616,535196.117735705,563944.093066577
"118",365544.575733311,519271.019682344,541231.331103541
"119",428341.612546911,324545.351179439,243552.546699845
"120",412875.765909825,308541.846576898,230445.14673105
"121",404079.738318547,303725.035915838,238687.547053403
"122",389853.552100023,296697.702523917,253706.879740822
"123",489822.704549757,387575.154518782,297296.467399506
"124",421340.264628432,321877.632618665,254113.60911498
"125",421522.187781315,322068.890057407,254279.000937754
"126",414077.770524891,310472.411571479,233983.330410429
"127",401667.064051477,304606.318067322,248638.372826381
"128",400253.351933791,300742.118280793,239086.484469711
"129",404650.742730751,307091.172425735,248976.120527239
"130",467203.757865483,361727.484904206,267116.29760445
"131",528122.63686994,421742.085267563,315282.01177385
"132",404617.5774845,305287.574262592,242730.303910929
"133",405785.268469699,303945.619647401,234602.858743827
"134",410414.697634745,306219.660256483,229238.01095013
"135",407571.710779,307316.636742425,241468.336840118
"136",403523.782305,302212.875247133,234933.07918889
"137",404550.337302328,302701.456444398,233720.905352856
"138",525187.42064805,417402.362176342,307635.312852367
"139",405232.484380887,304480.756985676,238082.495740683
"140",414697.046767342,308308.570056639,223969.570057123
"141",428084.861079384,331910.267144226,270587.174744107
"142",401919.634820338,297538.82587341,222710.14355414
"143",439653.867042401,343966.153542829,280925.252463018
"144",472749.615091131,366181.232614333,267442.404097919
"145",475635.509576221,368690.816617635,268391.802603134
"146",405322.433370878,303603.033635606,234713.828438183
"147",422398.200414433,323403.595781049,256552.637837642
"148",533271.558200649,413815.099113191,311491.917617106
"149",429719.572503765,322922.980924944,233243.642974809
"150",522380.240425447,417945.533152471,317171.858819877
"151",413431.491828193,308133.971994647,227229.049047588
